total nodes,number tweets,number retweet,number replies,depth,freq,vrf,leader ,normal,total sentiment,co,centralty,diam,ecc,num sh path,num clique,num idp,max out,empty,engage max,num normal max,num leader max,lc,t freq,r freq,tpfr,t max,snt first,snt deep,snt ratio,score comm,local,snt sh path,wight clique,snt idp,real
8,3,2,3,2,3.56,2,1,1,0.6865,0.0,0.0,0,0.0,2,2,4,1,4,1,1,23.495,0.718240741,0.000802469,23.48958333,0.0,0.34325,0.6865,0.0,0.0,0.0,0,0.228833333,0.6865,0.6865,0
2485,1288,809,388,8,9.05,809,305,504,41.2916,0.87,0.27,4,2.881443299,4,54,3,130,1013,165,64,38.0,22479.845,9.030379905,1.526694601,12.65580503,20197.87861,0.070065455,0.2734,0.226804124,79.5267,49,0.2526,19.69376624,-0.2501,1
1,1,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
144,88,14,42,5,10.65,14,6,8,2.0992,0.9,-0.03,4,2.738095238,4,9,3,8,69,8,3,0.0,177.7863889,10.57496552,0.992664751,1.601260684,33.83416667,0.048184211,-0.2473,0.333333333,9.2843,3,0.0903,-1.201217931,0.5345,0
687,180,419,88,5,3.48,419,131,288,-1.1365,0.86,0.0,4,2.931818182,4,21,3,125,138,167,86,40.0,2393.966667,3.46010134,3.469271641,29.15837853,73.36944444,-0.087235714,-2.8112,0.352272727,25.0261,12,-0.1253,-0.462685452,-0.5819,0
1326,246,773,307,5,1.77,773,292,481,-31.8621,0.86,0.15,4,2.93485342,4,51,4,192,147,319,100,41.0,1909.819444,1.764749853,1.439164364,34.33036373,0.451111111,-0.293510101,-11.3522,0.407166124,76.2336,36,-0.0175,-12.11803665,-0.4197,0
527,55,327,145,5,145.51,327,108,219,16.2856,0.87,0.0,4,2.924137931,4,27,3,148,23,164,77,20.0,76684.83167,145.0741004,116.799213,51.60239509,69261.25889,0.423765625,1.1124,0.234482759,37.5398,17,0.0344,9.045466427,0.1896,1
372,127,177,68,3,4.32,177,74,103,-8.0743,0.86,-0.33,4,2.852941176,4,14,3,127,91,132,58,34.0,1607.805,4.306414954,4.301489425,13.11178469,22.77111111,-0.215836111,0.0,0.485294118,15.6755,8,-0.2623,-5.11025,-0.8469,0
673,317,213,143,5,13.16,213,81,132,6.8532,0.85,0.0,4,2.951048951,4,27,3,165,268,178,66,28.0,241.1286111,13.14143134,0.357693703,8.340530079,5.550555556,0.041306122,-0.039,0.356643357,42.0334,26,0.3526,3.473769103,0.132,0
665,509,122,34,5,17.6,122,48,74,1.3306,0.88,0.58,4,2.705882353,4,8,2,26,457,26,7,13.0,9613.967778,17.57461962,14.36443861,24.46896412,57.30444444,0.056101923,-0.6546,0.294117647,6.6061,5,-0.0812,0.482541964,-0.1411,0
1272,607,615,50,5,5.74,615,251,364,-6.2083,0.88,0.51,4,2.78,4,9,3,161,531,161,105,56.0,6885.298056,5.738711486,5.408268526,22.84856595,2616.0,-0.066886842,-0.1393,0.42,10.0118,6,-0.3638,-2.866639634,-0.0644,0
26,12,7,7,2,1.88,7,4,3,-2.0811,0.0,0.0,0,0.0,4,3,7,9,7,2,3,13.87722222,1.810967078,0.513436214,2.717932099,0.0,-0.6937,0.3289,0.571428571,0.0,0.0,0,-1.29282,-0.5654,-0.2694,1
559,165,333,61,5,11.43,333,95,238,-3.784,0.84,0.0,4,2.901639344,4,19,3,113,132,252,143,64.0,6271.888889,11.13713046,11.19972718,1.565248993,6236.793056,-0.090830303,-1.0722,0.491803279,14.7485,10,-0.2468,-2.504613384,0.202,0
10,10,0,0,1,4.08,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,10,0,0,0,0.0,3.706111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
75,45,22,8,3,23.91,22,4,18,-0.7671,0.0,0.0,3,2.375,3,3,2,7,35,7,5,0.0,1792.899722,5.106991959,23.58978436,80.36450192,38.42888889,-0.07671,0.4199,0.375,0.0,2,-0.6856,-0.405576923,-0.6288,0
6,5,1,0,2,7542.89,1,0,1,0.0,0.0,0.0,0,0.0,0,0,1,4,1,1,0,388.0869444,6465.336667,0.0,388.0869444,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
27,23,3,1,2,19.01,3,1,2,0.3182,0.0,0.0,0,0.0,0,1,1,4,22,4,2,1.0,64.67305556,18.33550595,0.076448413,0.659583333,62.45805556,0.3182,0.3182,0.0,0.0,0,0.3182,0.3182,0.3182,0
102,81,14,7,2,85.9,14,6,8,0.6828,0.0,0.0,0,0.0,2,2,3,68,3,2,1,5950.848056,85.06514563,57.77505394,16.71547619,0.0,0.052523077,0.0,0.428571429,0.0,0.0,0,0.621885714,-0.3573,-0.2597,0
491,358,102,31,5,22.58,102,35,67,0.4254,0.83,0.0,4,3.161290323,4,7,3,28,322,37,19,9.0,8204.270833,22.52927846,16.67444557,6.179613821,94.14305556,0.018877778,0.9782,0.387096774,10.14,5,-0.0365,-0.053165753,0.1184,0
1682,612,804,266,5,7.47,804,297,507,-14.677,0.86,-0.25,4,2.913533835,4,41,4,118,479,124,60,33.0,12276.45056,7.466452928,7.294372648,38.44790207,31.66055556,-0.129166165,-0.8982,0.432330827,61.5768,46,-0.2393,-12.38890646,-0.0414,0
1500,1044,225,231,5,10.42,225,126,99,-8.0613,0.88,0.0,4,2.675324675,4,40,3,74,932,89,20,34.0,15234.63083,10.41282386,10.14964524,22.76042909,2739.420556,-0.116374107,-0.2617,0.346320346,43.9565,35,-0.031,-2.243424877,0.1809,0
299,237,26,36,4,4.39,26,11,15,-3.2706,0.85,0.0,4,2.916666667,4,9,3,21,217,25,2,5.0,254.5486111,4.377953704,0.848228704,17.72119497,15.80222222,-0.1089,-0.5798,0.472222222,9.9076,4,-0.0657,-1.779380672,-0.134,0
2,1,1,0,2,2.11,1,1,0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,0,1,4.213611111,0.0,0.0,4.213611111,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
2883,715,1879,289,5,3.19,1879,723,1156,-36.6929,0.89,-0.4,4,2.733564014,4,41,3,130,486,178,88,41.0,9207.6025,1.032408884,3.192597569,26.68383202,17.35694444,-0.162056769,-3.4383,0.408304498,58.7448,35,-0.2082,-14.94721871,0.0143,0
217,142,62,13,4,82.38,62,24,38,-1.0058,0.76,-0.24,4,3.153846154,4,7,2,41,127,42,26,12.0,17877.18139,81.17112258,81.87316514,13.93614074,17600.91306,-0.127726667,0.669,0.461538462,3.6467,2,-0.9868,-0.295278125,-0.0275,0
1,1,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
8,1,7,0,2,0.15,7,3,4,0.0,0.0,0.0,0,0.0,0,0,7,0,7,4,3,1.180833333,0.0,0.128765432,0.437103175,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
240,126,65,49,5,296.36,65,30,35,5.2731,0.82,0.0,4,3.163265306,4,20,3,17,102,17,5,8.0,70535.20778,295.1338532,221.9824816,127.981592,34797.84417,0.089745833,1.1665,0.367346939,14.5532,8,0.1576,2.79155798,0.39,1
525,181,313,31,4,0.41,313,129,184,-4.9716,0.87,-0.32,4,2.903225806,4,5,2,110,127,122,56,49.0,78.03222222,0.407003063,0.148294254,2.494277293,20.74138889,-0.087257407,-1.7908,0.548387097,6.6613,4,0.0061,-3.254826866,-0.0476,0
